Time,Counts,Total Counts
1714001296.1614945,1,1
1714001306.1716564,2,3
1714001316.181802,2,5
1714001326.1894567,0,5
1714001336.1995957,1,6
1714001346.2054615,2,8
1714001356.2134593,2,10
1714001366.2236037,1,11
1714001376.2254732,3,14
1714001386.2356164,1,15
1714001396.2457817,0,15
1714001406.253448,1,16
1714001416.2614355,1,17
1714001426.2715726,1,18
1714001436.281457,1,19
1714001446.2915967,4,23
1714001456.3017402,2,25
1714001466.3094578,0,25
1714001476.3196042,2,27
1714001486.3295162,1,28
1714001496.3396645,3,31
1714001506.349458,4,35
1714001516.3596137,1,36
1714001526.3697612,1,37
1714001536.3798954,2,39
1714001546.3895438,2,41
1714001556.3996842,2,43
1714001566.4094594,5,48
1714001576.4196494,2,50
1714001586.4254606,2,52
