Time,Counts,Total Counts
1714171620.164493,0,0
1714171630.1723623,4,4
1714171640.1804144,1,5
1714171650.1906643,3,8
1714171660.2009275,2,10
1714171670.2084758,3,13
1714171680.2187352,2,15
1714171690.228371,3,18
1714171700.2324483,4,22
1714171710.2427049,3,25
1714171720.2483656,1,26
1714171730.258512,3,29
1714171740.2686505,5,34
1714171750.2787979,2,36
1714171760.280361,5,41
1714171770.2905102,0,41
1714171780.3003633,4,45
1714171790.308359,0,45
1714171800.3185847,4,49
1714171810.328758,2,51
1714171820.338986,0,51
1714171830.348536,2,53
1714171840.3587534,3,56
1714171850.3690093,4,60
1714171860.3725042,4,64
1714171870.3827684,5,69
1714171880.3884726,6,75
1714171890.398737,9,84
1714171900.4089267,2,86
1714171910.4190698,0,86
