Time,Counts,Total Counts
1713997199.9582758,11,11
1713997209.968443,18,29
1713997219.9785886,14,43
1713997229.9887328,15,58
1713997239.9894626,16,74
1713997249.9996014,13,87
1713997260.0097475,16,103
1713997270.019897,14,117
1713997280.0300465,16,133
1713997290.0401897,14,147
1713997300.050342,15,162
1713997310.0574384,16,178
1713997320.0654435,11,189
1713997330.0755808,14,203
1713997340.0857267,12,215
1713997350.0958698,15,230
1713997360.1060083,14,244
1713997370.116148,31,275
1713997380.1262903,19,294
1713997390.1364336,15,309
1713997400.1465735,13,322
1713997410.156717,22,344
1713997420.1668582,13,357
1713997430.1769881,24,381
1713997440.1854756,11,392
1713997450.1935117,14,406
1713997460.2014372,17,423
1713997470.2115512,20,443
1713997480.2216887,8,451
1713997490.2318308,17,468
