Time,Counts,Total Counts
1714175954.119349,3,3
1714175964.1284912,4,7
1714175974.1364386,4,11
1714175984.1465895,7,18
1714175994.156509,3,21
1714176004.166681,3,24
1714176014.176916,5,29
1714176024.1871755,6,35
1714176034.1974385,4,39
1714176044.2077003,5,44
1714176054.2163658,4,48
1714176064.2264993,4,52
1714176074.236727,3,55
1714176084.2469869,3,58
1714176094.257267,5,63
1714176104.2675273,5,68
1714176114.2777052,1,69
1714176124.2879386,7,76
1714176134.2982204,4,80
1714176144.3084824,7,87
1714176154.3187442,4,91
1714176164.3290107,4,95
1714176174.3391838,12,107
1714176184.3492572,6,113
1714176194.3594036,5,118
1714176204.3696413,0,118
1714176214.3798983,7,125
1714176224.3901558,4,129
1714176234.4003735,8,137
1714176244.410513,5,142
