Time,Counts,Total Counts
1714175566.648313,26,26
1714175576.6564283,16,42
1714175586.6643646,15,57
1714175596.674506,20,77
1714175606.684737,16,93
1714175616.6949933,13,106
1714175626.7051644,11,117
1714175636.7153635,18,135
1714175646.7243662,10,145
1714175656.7344933,12,157
1714175666.7447217,13,170
1714175676.7549844,14,184
1714175686.7652495,14,198
1714175696.7754254,16,214
1714175706.7856572,13,227
1714175716.7958963,17,244
1714175726.804578,22,266
1714175736.808481,21,287
1714175746.8187542,20,307
1714175756.8290195,12,319
1714175766.8393054,11,330
1714175776.8495486,16,346
1714175786.8597717,20,366
1714175796.8603692,20,386
1714175806.8656185,16,402
1714175816.8723838,17,419
1714175826.8825276,11,430
1714175836.888367,21,451
1714175846.8985057,21,472
1714175856.900428,18,490
